years_since_founded,funding_rounds,funding_total_usd,milestones,has_invested_other_companies,description,last_raised_amount_usd,last_funding_participants_cnt,category_code,last_funding_round_type,is_ipo_or_acquired
12.0,5,35154999.0,2.0,0,"Former Agile GM Craig Livingston Named New Chief Executive Officer of Mid-Market SaaS PLM Leader Arena Solutions Ken Bozzini Joins Arena Solutions as Chief Financial Officer. Bozzini brings more than 25 years of financial and business leadership experience for technology-based companies 
 Arena signs manofIT as exclusive reseller for Israel. manofIT to provide regional expertise to the growing base of Israeli manufacturers using Arena to get products to market in line with time, cost, regulatory and quality expectations 
 Arena Signs eBOM AB as an Authorized Reseller for Scandinavia. eBOM to provide regional expertise to the growing base of Scandinavian manufacturers using Arena to get their product data and engineering change processes under control. Steve Chalgren Joins Arena Solutions as Vice President of Product Management and Strategy. 
Chalgren brings more than 20 years in strategy, leadership and operational roles for product lifecycle management (PLM), software and manufacturing companies.",3000000.0,0,software,series-c+,0
4.0,1,200000.0,1.0,0,nan,200000.0,0,analytics,angel,0
3.0,1,1750000.0,,0,nan,1750000.0,0,software,series-a,0
12.0,1,622000.0,,0,nan,622000.0,2,software,venture,0
2.0,3,5250000.0,2.0,0,nan,,0,search,angel,0
14.0,1,4080000.0,,0,nan,4080000.0,2,software,series-b,1
3.0,1,2500000.0,1.0,0,nan,2500000.0,0,ecommerce,venture,0
18.0,1,30000000.0,1.0,0,nan,30000000.0,2,software,venture,0
11.0,3,12638309.0,1.0,0,nan,490000.0,2,software,venture,0
15.0,3,26240000.0,,0,nan,20000000.0,2,ecommerce,series-a,0
2.0,1,2500000.0,3.0,0,"Hired Mark Logan as Founding Engineer Hired Ian Langworth as CTO Hired Ankur Pansari as CEO Hired Eric Burkhart as Head of Growth Hired Sean ""Day9"" Plott as Head of Gaming",2500000.0,10,games_video,venture,0
0.0,1,500000.0,2.0,0,nan,500000.0,1,web,angel,0
8.0,1,3770000.0,2.0,0,"Announced hireing of CEO Howard Koenig Aruspex Appoints Executive Vice President of Operations, Helen Roberts Aruspex awarded 2010 Tektonic Award for best Strategic Workforce Planning Software",3770000.0,1,software,series-a,0
4.0,4,38200000.0,2.0,0,nan,,1,software,angel,0
1.0,1,1000000.0,2.0,0,nan,1000000.0,0,software,angel,0
,1,3500000.0,1.0,0,Ask Ziggy Announces Natural Language Understanding API,3500000.0,0,search,venture,0
,1,,1.0,0,nan,,1,software,angel,0
9.0,4,52344067.0,1.0,0,nan,10000000.0,5,software,venture,0
2.0,1,,2.0,0,Added David Zimmerman as Lead Business Development At The Pool Relaunches On Mobile,,4,software,angel,0
6.0,2,31000000.0,1.0,0,nan,7000000.0,2,software,venture,0
0.0,1,125000.0,2.0,0,Ekaterina Melnikova VP of sales,125000.0,0,ecommerce,angel,0
2.0,1,700000.0,1.0,0,nan,700000.0,7,mobile,angel,0
1.0,4,397200.0,3.0,0,Atooma wins Techcrunch Italy 2012 in Rome,132200.0,1,mobile,angel,0
12.0,4,33041484.0,1.0,0,nan,10000000.0,1,software,venture,1
,1,800000.0,,0,nan,800000.0,2,software,series-c+,0
2.0,1,200000.0,1.0,0,nan,200000.0,0,mobile,angel,0
14.0,1,1280000.0,,0,nan,1280000.0,2,software,venture,0
5.0,2,1250000.0,2.0,0,nan,500000.0,1,games_video,series-a,1
13.0,1,2500000.0,,0,nan,2500000.0,2,software,series-a,0
,1,,1.0,0,nan,,1,security,angel,1
7.0,1,2000006.0,,0,nan,2000006.0,0,software,venture,0
,1,9000000.0,,0,nan,9000000.0,3,analytics,venture,0
8.0,2,30600000.0,6.0,1,WordPress.com Parent Company Automattic On Track To Make $45M In Revenue This Year Tiger Global leads $50 million secondary purchase of Automattic stock Tiger Global leads $75 million secondary purchase of Automattic stock,1100000.0,7,web,series-a,0
3.0,2,875000.0,2.0,0,"Accepted into AlphaLab startup incubator in Pittsburgh, PA Buying a car can be a long, demoralizing and costly process.

It also can be simple. At least, that is the philosophy of AutoRef Inc., a startup in South Side's AlphaLab incubator that wants to reduce the time, money and general headache of buying a car Buying a car can be a long, demoralizing and costly process.

It also can be simple. At least, that is the philosophy of AutoRef Inc., a startup in South Side's AlphaLab incubator that wants to reduce the time, money and general headache of buying a car",25000.0,1,web,angel,0
12.0,1,12200000.0,1.0,0,nan,12200000.0,3,software,series-b,0
2.0,2,6250000.0,2.0,0,Announced market availability of Averail Access,250000.0,1,mobile,angel,1
2.0,2,3400000.0,2.0,0,nan,1600000.0,1,mobile,venture,1
18.0,1,3000000.0,2.0,0,Avistar Receives Frost & Sullivan Award for New Product Innovation in Desktop Videoconferencing Avistar Continues to Deliver Proven and Scalable Virtual Visual Communications and Virtualized Videoconferencing Infrastructure to the Unified Communications and Collaboration Industry Avistar Recognized by TMC with Unified Communications Product of the Year Award,3000000.0,0,software,other,0
0.0,2,2150000.0,1.0,0,nan,1300000.0,5,software,angel,0
2.0,1,,2.0,0,nan,,4,software,series-a,0
10.0,1,1000000.0,1.0,0,nan,1000000.0,0,software,angel,0
11.0,4,60000000.0,1.0,0,nan,10000000.0,3,software,venture,0
4.0,3,800000.0,3.0,0,Brian Smith added as Director of Marketing,,1,messaging,angel,0
16.0,1,2000000.0,,0,nan,2000000.0,0,mobile,venture,0
5.0,2,3000000.0,,0,nan,2000000.0,0,ecommerce,series-a,0
5.0,6,51348982.0,2.0,0,nan,,1,analytics,angel,0
3.0,1,170000.0,,0,nan,170000.0,0,ecommerce,other,0
2.0,1,2500000.0,2.0,0,nan,2500000.0,3,software,series-a,0
1.0,1,125000.0,,0,nan,125000.0,1,social,angel,0
,1,2000000.0,,0,nan,2000000.0,0,games_video,venture,0
1.0,1,200000.0,1.0,0,nan,200000.0,5,ecommerce,angel,0
2.0,1,620000.0,2.0,0,nan,620000.0,5,ecommerce,angel,0
6.0,1,5000000.0,3.0,0,nan,5000000.0,1,software,venture,0
0.0,1,200000.0,2.0,0,Backdoor launched globally to the public today allowing anonymous messaging to the entire world.,200000.0,1,social,angel,0
3.0,2,8500000.0,3.0,0,nan,1500000.0,2,software,series-a,0
2.0,2,5800000.0,2.0,0,nan,1800000.0,5,web,series-a,0
2.0,1,168000.0,1.0,0,nan,168000.0,2,software,angel,0
3.0,3,3550000.0,2.0,0,nan,150000.0,0,ecommerce,other,0
4.0,1,8700000.0,2.0,0,"Balluun received $3.8M in Series A funding. Balluun partners with Advanstar to power Shop The Floor Balluun partners with TIA, the largest toy tradeshow in the US, to provide its e-commerce platform. Blockbuster, multimillion-dollar funding rounds may grab the headlines, but it's the smaller, sub-USD10m investments that are driving overall investment in digital media. Globally, 68% or 476 of the 698 deals during Q3 2013 were either undisclosed or roun",8700000.0,1,ecommerce,series-b,0
1.0,2,853078.0,1.0,0,nan,503078.0,0,games_video,other,0
2.0,2,,3.0,0,John Malloy joins Board of Directors,,0,mobile,series-a,0
10.0,2,45610000.0,3.0,1,"Capexit Accepts phion Tender Offer from Barracuda
 Barracuda Networks files to raise up to $100 million in IPO Barracuda Networks IPO raises $75M ï¿? here's everything you need to know about the stock",40000000.0,2,security,venture,1
1.0,1,280000.0,1.0,0,nan,280000.0,0,messaging,angel,0
3.0,1,1000000.0,2.0,0,nan,1000000.0,0,games_video,angel,1
2.0,2,393000.0,2.0,0,nan,18000.0,1,messaging,angel,0
8.0,3,27750000.0,3.0,0,nan,4000000.0,3,software,series-a,0
10.0,1,14000000.0,1.0,0,nan,14000000.0,2,software,series-c+,0
13.0,3,35869729.0,2.0,0,BDNA JOINS MICROSOFT SYSTEM CENTER ALLIANCE PROGRAM,12500000.0,4,software,series-c+,0
3.0,4,74675009.0,3.0,0,BeachMint Teams With Kate Bosworth To Launch First Vertical: JewelMint,5000000.0,2,ecommerce,series-a,0
3.0,3,8500000.0,1.0,0,Beautylish Now Has 1 Million Monthly Uniques And It Just Launched An E-Commerce Arm,1000000.0,2,ecommerce,angel,0
2.0,1,450000.0,1.0,0,nan,450000.0,0,web,venture,0
9.0,4,37200000.0,2.0,0,nan,4500000.0,4,search,series-a,1
1.0,3,1918089.0,,0,nan,657589.0,0,software,venture,0
14.0,1,75000.0,,0,nan,75000.0,0,software,other,0
0.0,1,1250000.0,1.0,0,nan,1250000.0,4,ecommerce,angel,0
2.0,1,,2.0,0,nan,,1,software,angel,0
9.0,1,10300000.0,1.0,0,nan,10300000.0,3,web,other,0
,2,2800000.0,1.0,0,nan,100000.0,1,software,angel,1
12.0,3,20250000.0,,0,nan,11250000.0,0,software,series-a,1
